anio,mes,lugar_venta,tamanio,sabor,origen,codigo_por_sabor,producto,total_venta
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,818.72559
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,14533.988809999999
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6.99e-15
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.12e-13
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,199087.5761
2019,Apr,Mexico,Regular,Verde,Norte,206054370,Tamal mix,0.0
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3977.720618
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-1.7800000000000002e-13
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-1.82e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3034.783941
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.04e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2143.394708
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,26293.9131
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-2.59e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-4.53e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-7.570000000000001e-12
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,46566.482339999995
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,20278.954680000003
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,35437.66547
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.25e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1830.64416
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,12724.24919
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,26691.185840000002
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,5213.278785
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,59414.57773
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-2.44e-12
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,23936.48186
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,9.13e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,6396.971617
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.0
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,454.409896
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2359.105075
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.1499999999999998e-10
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.54e-12
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,190965.44100000002
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,8579.730607
2019,Apr,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,18.739035
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.71e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.15e-11
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.03e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3560.7057979999995
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,20861.67576
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4.16e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,693.30735
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.35e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,19016.96113
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3830.57375
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-5.51e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,157381.4961
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-1.95e-12
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,6.88e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-7.74e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,5916.669095
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-5.64e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,57375.118760000005
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.87e-11
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.585065
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4045.9231640000003
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.29e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,17679.67073
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,5513.758275
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-3.2e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,987.892026
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.39e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,431.13768
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,20050.94118
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,22168.01989
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.35e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,13137.30065
2019,Apr,Mexico,Regular,Verde,Norte,206054370,Tamal mix,46.188821999999995
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,7171.908204
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1.74e-13
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,4559.171067
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-5.2899999999999995e-12
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,0.176154
2019,Apr,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,4.84e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1730.814075
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.73e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.5100000000000002e-15
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.66e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.96e-12
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,9.14e-11
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-1.47e-12
2019,Apr,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,2.36e-13
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1566.74932
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6129.122907
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,16978.5141
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.4300000000000003e-12
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.49e-12
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,180972.0705
2019,Apr,Mexico,Regular,Verde,Norte,206054370,Tamal mix,4e-15
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,355.062438
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-1.6399999999999998e-13
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,5781.965665
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1637.196414
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1.88e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-5.3299999999999994e-15
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,8.059999999999999e-13
2019,Apr,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,-2.78e-16
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4.7000000000000006e-12
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.1100000000000003e-11
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,61.28918
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,88242.65914
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-7.33e-15
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.3799999999999997e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.0100000000000001e-11
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,140423.9008
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.31e-11
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,5.75e-14
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1962.944496
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4313.9124
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,113000.5387
2019,Apr,Mexico,Regular,Verde,Norte,206054370,Tamal mix,112.82368799999999
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-1.2e-13
2019,Apr,Mexico,Regular,Mole,Norte,206051447,Tamal mix,8.81e-14
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.6399999999999998e-13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,38916.8329
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,291292.2265
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,7009.122433
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.84e-11
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.08e-10
