anio,mes,lugar_venta,tamanio,sabor,origen,codigo_por_sabor,producto,total_venta
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,21389.12001
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1029.174642
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.484474
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,685.478971
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4294.46944
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,28.981495000000002
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4901.020979999999
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-256.125448
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-46.506721
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-103.68164399999999
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,2273.29992
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,0.0
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6883.915003
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.42e-14
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.95e-13
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,104.395206
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,23611.16718
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.15e-13
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.66e-13
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.47e-14
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.98e-14
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,14.692445999999999
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-9.753553
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,42224.30218
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,466.00910999999996
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-24.557551999999998
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.76134
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,16533.52419
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3783.454973
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1533.103674
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,7.368302000000001
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,5465.596356
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1915.1464620000002
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,93.805717
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,24781.46904
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,127070.1842
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,10706.98998
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,0.496654
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,6900.280062999999
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-33.288902
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.6864830000000002
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,693.30735
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,103130.0776
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-48.76262
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4349.706736
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2668.721105
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,19651.19496
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,27373.562660000003
2019,Mar,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,298137.7891
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,6546.319335
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,7273.3366510000005
2019,Mar,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-8.67e-14
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-109.741922
