anio,mes,lugar_venta,tamanio,sabor,origen,codigo_por_sabor,producto,total_venta
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,126993.08
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,214.20037200000002
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3e-15
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,702.183795
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-115.307824
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1380.499117
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,8.45368
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.0
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,189506.7217
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,41.222367
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,14669.02796
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-220.98092999999997
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.750264
2019,Jan,Mexico,Regular,Verde,Norte,206054370,Tamal mix,0.24082699999999999
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-423.472236
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4.44e-14
2019,Jan,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-81.31015
2019,Jan,Mexico,Regular,Verde,Norte,206054370,Tamal mix,4.158355
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1859.868411
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-127.52111799999999
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4119.281158
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,13555.08344
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.44e-15
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,165.90347
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-124.18764099999999
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-60.13671
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,11400.40394
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1566.572575
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,282.45855
2019,Jan,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-198.39311899999998
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-12.331083999999999
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4495.197576
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-726.458916
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1035.788942
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,618.175584
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,9.21e-15
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2645.473485
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-127.422505
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1621.426048
2019,Jan,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1.13e-14
