anio,mes,lugar_venta,tamanio,sabor,origen,codigo_por_sabor,producto,total_venta
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-5.51e-12
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,15112.01175
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.7899999999999997e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.74e-15
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.7200000000000001e-12
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-3.65e-14
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-4.49e-13
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,2091.651774
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3.55e-15
2019,May,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,-9.13e-14
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,48864.1112
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,8.100000000000001e-13
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1406.7235349999999
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,40273.45581
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,161176.4949
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,9.2e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.7000000000000002e-12
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,10246.12822
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,76.857364
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,20972.96134
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,439.904792
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4.76e-11
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1797.4641350000002
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1712.5754579999998
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4.31e-14
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4.7e-14
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1908.1614960000002
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-5.02e-14
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,13754.04268
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,29727.80272
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,8.68e-14
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6.15e-14
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,722.5000269999999
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-2.73e-14
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6715.0104870000005
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,9095.10297
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-3e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.3300000000000001e-15
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.7399999999999994e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1815.872584
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,8451.128697
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-4.93e-13
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-5.73e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.85e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,22746.74487
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.99e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,186377.9741
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4656.2864
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.3300000000000001e-15
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.5e-13
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,135906.2912
2019,May,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,27253.085610000002
2019,May,Mexico,Regular,Mole,Norte,206051447,Tamal mix,5747.446467
2019,May,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,1218.664855
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.67e-14
